Size(n),Runtime(ns)
100,13955
200,23533
300,11730
400,16332
500,23490
600,25646
700,29900
800,34128
900,43418
1000,44627
1100,51239
1200,54381
1300,62549
1400,65568
1500,70836
1600,80947
1700,85877
1800,86778
1900,97230
2000,98283
2100,102693
2200,108623
2300,112503
2400,129296
2500,126290
2600,136159
2700,138851
2800,151800
2900,146460
3000,155700
3100,161193
3200,168530
3300,172321
3400,177903
3500,185088
3600,188541
3700,198301
3800,203953
3900,210220
4000,211525
4100,221514
4200,225834
4300,246425
4400,240088
4500,246028
4600,256119
4700,259549
4800,261251
4900,274484
5000,277832
5100,275660
5200,287056
5300,293009
5400,302604
5500,312129
5600,319930
5700,335504
5800,332216
5900,333223
6000,344735
6100,346440
6200,347413
6300,366302
6400,367255
6500,375807
6600,375231
6700,395053
6800,397146
6900,404771
7000,409923
7100,421888
7200,418336
7300,426659
7400,436963
7500,439231
7600,445058
7700,456927
7800,458205
7900,467942
8000,475302
8100,476031
8200,486060
8300,497985
8400,492056
8500,507140
8600,504528
8700,513239
8800,524625
8900,538123
9000,546457
9100,536613
9200,553890
9300,559197
9400,565776
9500,564395
9600,573033
9700,585975
9800,589614
9900,596573
10000,603003

