Size(n),Runtime(ns)
100,10217
200,8452
300,11465
400,15279
500,20153
600,24116
700,30628
800,33721
900,39151
1000,42127
1100,47328
1200,52778
1300,58999
1400,63608
1500,76481
1600,75799
1700,81272
1800,90284
1900,96273
2000,100346
2100,105375
2200,108345
2300,110053
2400,114649
2500,126035
2600,157402
2700,156763
2800,162481
2900,154594
3000,158475
3100,159206
3200,160183
3300,166063
3400,171705
3500,184703
3600,177257
3700,188431
3800,188620
3900,195321
4000,225023
4100,225434
4200,251110
4300,228185
4400,227712
4500,254669
4600,253335
4700,257082
4800,265558
4900,274839
5000,417011
5100,286152
5200,291280
5300,309335
5400,303647
5500,319420
5600,322817
5700,324406
5800,324108
5900,339788
6000,342096
6100,340911
6200,354826
6300,357627
6400,351055
6500,383992
6600,389428
6700,377244
6800,411323
6900,404549
7000,405383
7100,408846
7200,438386
7300,425086
7400,422338
7500,449878
7600,459589
7700,457639
7800,468419
7900,467691
8000,457152
8100,487195
8200,489940
8300,465631
8400,517701
8500,537176
8600,497707
8700,526992
8800,518254
8900,573361
9000,532773
9100,548658
9200,550386
9300,577284
9400,577522
9500,564574
9600,573854
9700,590951
9800,581237
9900,597835
10000,605751

