Size(n),Runtime(ns)
100,33267
200,28509
300,31562
400,95353
500,124767
600,117761
700,162007
800,237813
900,322065
1000,365130
1100,417091
1200,477193
1300,542285
1400,640373
1500,756356
1600,956221
1700,1002993
1800,1059801
1900,1173861
2000,1333137
2100,1477488
2200,1626150
2300,1707270
2400,1828451
2500,2041910
2600,2306545
2700,2381493
2800,2634030
2900,2713750
3000,3125778
3100,3167214
3200,3376879
3300,3576753
3400,3703834
3500,3941506
3600,4259840
3700,4467124
3800,4626827
3900,4942897
4000,5056834
4100,5538858
4200,6171384
4300,6595435
4400,6396666
4500,6693536
4600,7002236
4700,7311952
4800,7441231
4900,8093312
5000,8447291
5100,8623609
5200,8896127
5300,9298958
5400,9624887
5500,10482235
5600,10588644
5700,10643018
5800,11081007
5900,11222481
6000,11743603
6100,12655919
6200,13061064
6300,13890694
6400,14224261
6500,14354647
6600,14786978
6700,15072369
6800,15321078
6900,15812873
7000,17169044
7100,18240596
7200,17452863
7300,17749299
7400,18003147
7500,19840491
7600,21329866
7700,20218981
7800,20830324
7900,20940411
8000,22548183
8100,22453723
8200,22597048
8300,22337012
8400,23424472
8500,23976700
8600,24842650
8700,26923314
8800,26526711
8900,28049625
9000,29430092
9100,29759249
9200,30434847
9300,29720297
9400,30576162
9500,31657799
9600,31648687
9700,33935639
9800,34222248
9900,34858065
10000,35349049

